2023-12-11 17:14:14,Hockey Shock-and-Awe,ADD,James Reimer,DET,G
2023-12-11 17:14:14,Hockey Shock-and-Awe,DROP,Nick Leddy,STL,D
2023-12-11 17:13:35,Hockey Shock-and-Awe,ADD,Karel Vejmelka,ARI,G
2023-12-11 17:13:35,Hockey Shock-and-Awe,DROP,Jonathan Quick,NYR,G
2023-12-11 17:12:25,Jobu's Rum,ADD,Devon Toews,COL,D
2023-12-11 17:12:25,Jobu's Rum,DROP,Jacob Trouba,NYR,D
2023-12-11 17:12:00,Jobu's Rum,ADD,Ilya Samsonov,TOR,G
2023-12-11 17:12:00,Jobu's Rum,DROP,Anthony Stolarz,FLA,G
2023-12-11 12:00:00,Hockey Shock-and-Awe,CLAIM,Connor Ingram,ARI,G
2023-12-11 12:00:00,Hockey Shock-and-Awe,DROP,Jiri Patera,VGK,G
2023-12-11 08:04:17,LetsGoBrandon,ADD,Lawson Crouse,ARI,W
2023-12-11 08:04:17,LetsGoBrandon,DROP,Charlie Coyle,BOS,C
2023-12-11 08:03:27,LetsGoBrandon,ADD,MacKenzie Weegar,CGY,D
2023-12-11 08:03:27,LetsGoBrandon,DROP,Zach Werenski,CBJ,D
2023-12-11 08:03:20,Hockey Shock-and-Awe,ADD,Jeff Skinner,BUF,W
2023-12-11 08:03:20,Hockey Shock-and-Awe,DROP,Tyler Toffoli,NJ,W
2023-12-11 08:03:00,Hockey Shock-and-Awe,ADD,Michael Carcone,ARI,C
2023-12-11 08:03:00,Hockey Shock-and-Awe,DROP,Cole Caufield,MTL,LW
2023-12-11 08:02:37,Hockey Shock-and-Awe,ADD,Clayton Keller,ARI,W
2023-12-11 08:02:37,Hockey Shock-and-Awe,DROP,Adam Lowry,WPG,C
2023-12-11 08:01:30,LetsGoBrandon,ADD,Nick Bjugstad,ARI,C
2023-12-11 08:01:30,LetsGoBrandon,DROP,Tom Wilson,WSH,W
2023-12-11 08:00:30,LetsGoBrandon,ADD,Mason Marchment,DAL,LW
2023-12-11 08:00:30,LetsGoBrandon,DROP,Mika Zibanejad,NYR,C
2023-12-11 08:00:21,LetsGoBrandon,ADD,Bo Horvat,NYI,C/RW
2023-12-11 08:00:21,LetsGoBrandon,DROP,Oliver Bjorkstrand,SEA,RW
2023-12-11 06:00:00,LetsGoBrandon,CLAIM,Zach Werenski,CBJ,D
2023-12-11 06:00:00,LetsGoBrandon,DROP,Devon Toews,COL,D
2023-12-10 15:49:30,Hockey Shock-and-Awe,ADD,Adam Lowry,WPG,C
2023-12-10 15:49:30,Hockey Shock-and-Awe,DROP,Sam Lafferty,VAN,RW
